Food,Food_group,DQQ_food_group,USDA_FDC_ID,Energy_kcal,Carbohydrates,Fiber,Monounsaturated_FAs_g,Polyunsaturated_FAs_g,Unsaturated_FAs_g,Saturated_FAs_g,VitA_RAE_mcg,VitC_mg,VitD_mcg,VitE_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,VitB6_mg,Folate_DFE_mcg,VitB12_mcg,Choline_mg,Iron_mg,Zinc_mg,Calcium_mg,Potassium_mg,Magnesium_mg,Sodium,DHA_g,EPA_g,DPA_g,ALA_g,His_g,Ile_g,Leu_g,Lys_g,Met_g_SAA,Cys_g_SAA,Phe_g_AAA,Trp_g_AAA,Tyr_g_AAA,Thr_g,Val_g,EAA_quantity,DIAAS,Phytate_mg,Iron_Abs,Zinc_Abs,DQQ_question,Comments,Food_long,Country,Liquids,Dried_Foods
Avocado,Fruits,Other fruits, 171705,160,8.53,6.7,9.8,1.82,11.62,2.13,7,10,0,2.07,0.07,0.13,1.74,0.26,81,0,14.2,0.55,0.64,12,485,29,7,0,0,0,0.11,0.05,0.08,0.14,0.13,0.04,0.03,0.1,0.03,0.05,0.07,0.11,0.82,0.7,11,0.1,0.44,Q10.2,,"Avocados, raw, all commercial varieties",Nigeria,0,0
Dates,Fruits,Other fruits,N/A,280,75,7.35,0.04,0.02,0.06,0.03,3.5,0.2,0,0.05,0.05,0.06,1.44,0.21,17,0,8.1,0.96,0.37,51.5,676,48.5,1.5,0,0,0,0.19,0.03,0.05,0.08,0.06,0.02,0.06,0.05,0.01,0.02,0.04,0.07,0.48,0.7,130,0.1,0.3,Q10.2,For phytate: used average value for dark brown and pale brown (no variety names mentioned),"Dates, dried, average of multiple varieties",Nigeria,0,1
Pineapple,Fruits,Other fruits,169124,50,13.1,1.4,0.01,0.04,0.05,0.01,3,47.8,0,0.02,0.08,0.03,0.5,0.11,18,0,5.5,0.29,0.12,13,109,12,1,0,0,0,0.11,0.01,0.02,0.02,0.03,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.19,0.7,8.59,0.1,0.44,Q10.2,,"Pineapple, raw, all varieties",Nigeria,0,0
Coconut,Fruits,Other fruits,170169,354,15.23,9,1.43,0.37,1.79,29.7,0,3.3,0,0.24,0.07,0.02,0.54,0.05,26,0,12.1,2.43,1.1,14,356,32,20,0,0,0,0.11,0.08,0.13,0.25,0.15,0.06,0.07,0.17,0.04,0.1,0.12,0.2,1.36,0.7,136,0.1,0.3,Q10.2,,"Nuts, coconut meat, raw",Nigeria,0,0
Bread (refined wheat flour),Starchy staples,Refined grains,174924,266,49.42,2.7,0.6,1.6,2.2,0.7,0,0,0,0.22,0.53,0.24,4.78,0.09,171,0,14.6,3.61,0.74,144,126,23,490,0,0,0,0.17,0.2,0.35,0.63,0.22,0.16,0.2,0.45,0.11,0.26,0.26,0.39,3.21,0.29,93,0.1,0.35,Q1,Used aee values for flat bread,"Bread, white, commercially prepared (includes soft bread crumbs)",Nigeria,0,0
Flat bread (refined wheat flour),Starchy staples,Refined grains,172816,275,55.7,2.2,0.11,0.54,0.64,0.17,0,0,0,0.22,0.27,0.1,2.14,0.03,24,0,14.6,1.4,0.84,86,120,26,536,0,0,0,0.17,0.2,0.35,0.63,0.22,0.16,0.2,0.45,0.11,0.26,0.26,0.39,3.21,0.29,75.04,0.1,0.35,Q1,"Used vit D and E, choline, DHA, EPA, DPA, and ALA values for bread ","Bread, pita, white, unenriched",Nigeria,0,0
Refined wheat pasta,Starchy staples,Refined grains,168928,158,30.86,1.8,0.13,0.33,0.46,0.18,0,0,0,0.06,0.02,0.02,0.4,0.05,7,0,6.4,0.5,0.51,7,44,18,1,0,0,0,0.02,0.13,0.23,0.44,0.13,0.07,0.11,0.3,0.08,0.11,0.21,0.26,2.07,0.29,164.74,0.1,0.26,Q1,"Used phytate value for cooked wheat-based noodles, as value for cooked pasta was unavailable","Pasta (refined), cooked, unenriched, without added salt",Nigeria,0,0
White rice (medium-grain),Starchy staples,Refined grains,168930,130,28.59,0.4,0.07,0.06,0.12,0.06,0,0,0,0.04,0.02,0.02,0.4,0.05,2,0,2.1,0.2,0.42,3,29,13,0,0,0,0,0.1,0.06,0.1,0.2,0.09,0.06,0.05,0.13,0.03,0.08,0.09,0.15,1.01,0.56,45.7,0.1,0.44,Q1,"Used fibre, vit E, choline, DHA, EPA, and DPA values for long-grain white rice","Rice, white, medium-grain, cooked, unenriched",Nigeria,0,0
White rice (long-grain),Starchy staples,Refined grains,169757,130,28.17,0.4,0.09,0.08,0.16,0.08,0,0,0,0.04,0.02,0.01,0.4,0.09,3,0,2.1,0.2,0.49,10,35,12,1,0,0,0,0.1,0.06,0.12,0.22,0.1,0.06,0.06,0.14,0.03,0.09,0.1,0.16,1.14,0.56,45.7,0.1,0.44,Q1,Used phytate value for medium-grain cooked white rice as a proxy,"Rice, white, long-grain, regular, unenriched, cooked without salt",Nigeria,0,0
White rice (short-grain),Starchy staples,Refined grains,168932,130,28.73,0.4,0.06,0.05,0.11,0.05,0,0,0,0.04,0.02,0.02,0.4,0.06,2,0,2.1,0.2,0.4,1,26,8,0,0,0,0,0.1,0.06,0.1,0.2,0.09,0.06,0.05,0.13,0.03,0.08,0.08,0.14,1,0.56,45.7,0.1,0.44,Q1,"Used phytate value for medium-grain cooked white rice as a proxy; used fibre, vit A, vit E, choline, DHA, EPA, and DPA values for long-grain white rice","Rice, white, short-grain, cooked, unenriched",Nigeria,0,0
Sorghum,Starchy staples,Whole grains,01_042 (from WA FCT),144,25.5,4.9,0.48,0.36,0.84,0.2,0,0,0,0.29,0.07,0.05,1.9,0.05,19,0,20.8,2.8,0.75,11,102,81,3,0,0,0,0.01,0.08,0.13,0.34,0.12,0.06,0.05,0.16,0.03,0.12,0.12,0.18,1.4,0.29,272,0.1,0.26,Q2,,"Sorghum, whole grains, boiled (without salt), drained",Nigeria,0,0
Corn flakes,Starchy staples,Whole grains,01_182 (from WA FCT),383,80.6,4.6,0.72,1.4,2.12,0.37,0,0,0,0.1,0.05,0.02,2,0.03,6,0,20.8,1,0.7,3,140,34,270,0,0,0,0.04,0.08,0.13,0.34,0.12,0.06,0.05,0.16,0.03,0.12,0.12,0.18,1.4,0.42,46.2,0.1,0.44,Q2,,"Cornflakes (breakfast cereal), unfortified",Nigeria,0,0
Bread (whole-wheat),Starchy staples,Whole grains,172688,252,42.71,6,0.62,1.59,2.21,0.72,0,0,0,2.66,0.39,0.17,4.44,0.22,42,0,27.2,2.47,1.77,161,254,75,455,0,0,0,0.14,0.08,0.13,0.34,0.12,0.06,0.05,0.16,0.03,0.12,0.12,0.18,1.4,0.56,176,0.1,0.26,Q2,,"Bread, whole-wheat, commercially prepared",Nigeria,0,0
Agidi,Starchy staples,Whole grains,01_02_02 (from NG FCT),93.34,19.75,1.3,0.37,0.6,0.98,0.2,0.87,2,0,0.04,0.02,0.05,0.3,0.02,1.1,0,29.1,0.1,1.61,4.33,40,8.26,3,0,0,0,0.04,0.09,0.13,0.36,0.14,0.07,0.03,0.16,0.02,0.13,0.13,0.19,1.45,0.42,380,0.1,0.26,Q2,"Used phytate value for yellow fermented maize paste as a proxy; used sat and unsat fat, vit D and B12, choline, sodium, DHA, EPA, DPA, and eaa from sweet white maize; used ALA from fresh maize","Maize, white, fermented gruel, cooked, moulded",Nigeria,0,0
Yellow sweet corn,Starchy staples,Whole grains,169999,96,20.98,2.4,0.37,0.6,0.98,0.2,13,5.5,0,0.09,0.09,0.06,1.68,0.14,23,0,29.1,0.45,0.62,3,218,26,1,0,0,0,0.04,0.09,0.13,0.36,0.14,0.07,0.03,0.16,0.02,0.13,0.13,0.19,1.45,0.42,196,0.1,0.26,Q2,Used phytate value for boiled corn (differentiation between yellow and white was not available); used ALA from fresh maize,"Corn, sweet, yellow, cooked, boiled, drained, without salt",Nigeria,0,0
White sweet corn,Starchy staples,Whole grains,168539,97,21.71,2.7,0.37,0.6,0.98,0.2,0,6.2,0,0.09,0.09,0.05,1.67,0.13,20,0,29.1,0.55,0.54,2,252,31,3,0,0,0,0.04,0.09,0.13,0.36,0.14,0.07,0.03,0.16,0.02,0.13,0.13,0.19,1.45,0.42,196,0.1,0.26,Q2,Used phytate value for boiled corn (differentiation between yellow and white was not available); used ALA from fresh maize,"Corn, sweet, white, cooked, boiled, drained, without salt",Nigeria,0,0
Fresh maize,Starchy staples,Whole grains,04_108 (from WA FCT),189,24.8,16.8,0.84,1.43,2.27,0.59,5,3,0,0.1,0.08,0.06,1.7,0.05,57,0,29.1,1.6,0.61,26,208,40,2,0,0,0,0.04,0.09,0.13,0.36,0.14,0.07,0.03,0.16,0.02,0.13,0.13,0.19,1.45,0.42,196,0.1,0.26,Q2,"Used phytate value for boiled corn; used choline, DHA, EPA, DPA, and eaa values for sweet maize","Maize, seeds, fresh, boiled (without salt), drained",Nigeria,0,0
Millet,Starchy staples,Whole grains,168871,119,23.67,1.3,0.18,0.51,0.69,0.17,0,0,0,0.02,0.11,0.08,1.33,0.11,19,0,11.2,0.63,0.91,3,62,44,2,0,0,0,0.05,0.08,0.15,0.45,0.07,0.07,0.07,0.19,0.04,0.11,0.11,0.18,1.5,0.42,200,0.1,0.26,Q2,,"Millet, cooked",Nigeria,0,0
Oats,Starchy staples,Whole grains,173905,71,12,1.7,0.44,0.56,0.99,0.31,0,0,0,0.08,0.08,0.02,0.23,0.01,6,0,7.4,0.9,1,9,70,27,4,0,0,0,0.02,0.05,0.12,0.22,0.14,0.05,0.1,0.14,0.04,0.1,0.1,0.16,1.2,0.69,809.9,0.1,0.26,Q2,,"Cereals, oats, regular and quick, unenriched, cooked with water (includes boiling and microwaving), without salt",Nigeria,0,0
Wheat,Starchy staples,Whole grains,01_141 (from WA FCT),185,33.2,6.9,0.18,0.55,0.73,0.18,0,0,0,0.42,0.15,0.04,3.6,0.14,16,0,20.8,3.2,1.07,22,160,38,2,0,0,0,0.04,0.08,0.13,0.34,0.12,0.06,0.05,0.16,0.03,0.12,0.12,0.18,1.4,0.56,448.8,0.1,0.26,Q2,,"Wheat, whole grains, boiled (without salt), drained",Nigeria,0,0
Fufu,Starchy staples,"White roots, tubers, and plantains",02_03_03 (from NG FCT),143,34.74,0.36,1.02,0.86,1.88,0.8,13,4.81,0,0.56,0.04,0.02,0.85,0.1,5.05,0.6,24.9,0.83,0.34,14.97,0.57,18.67,3.54,0,0,0,0.04,0.03,0.05,0.08,0.07,0.02,0.02,0.07,0.02,0.04,0.06,0.08,0.56,0.18,48,0.1,0.44,Q3,"Used sat and unsat fat, vit A, D, E, B6, niacin, choline, efa and eaa values from cassava","Cassava, white, Fermented,sieved,cooked",Nigeria,0,0
Cassava,Starchy staples,"White roots, tubers, and plantains",2345064,191,39.62,1.9,1.02,0.86,1.88,0.8,13,18.2,0,0.56,0.08,0.05,0.85,0.1,24,0,24.9,0.28,0.36,17,282,22,145,0,0,0,0.04,0.03,0.05,0.08,0.07,0.02,0.02,0.07,0.02,0.04,0.06,0.08,0.56,0.18,60,0.1,0.35,Q3,,"Cassava, cooked",Nigeria,0,0
White gari,Starchy staples,"White roots, tubers, and plantains",02_03_02 (from NG FCT),363,86.89,1.4,1.02,0.86,1.88,0.8,13,4.81,0,0.56,0.08,0.03,0.85,0.1,24,0,24.9,2.17,2.5,56.05,234.5,42.9,206.4,0,0,0,0.04,0.03,0.05,0.08,0.07,0.02,0.02,0.07,0.02,0.04,0.06,0.08,0.56,0.18,48,0.1,0.44,Q3,"For phytate: used value for fufu as value for gari was not available; Used sat and unsat fat, vit A, D, E, B12 and B6, niacin, folate, choline, efa and eaa values from cassava; used vit C value from fufu","Cassava, white, grated, fermented, dewatered, Fried",Nigeria,0,0
Taro,Starchy staples,"White roots, tubers, and plantains",168486,142,34.6,5.1,0.01,0.05,0.06,0.02,4,5,0,2.93,0.11,0.03,0.51,0.33,19,0,21.3,0.72,0.27,18,484,30,15,0,0,0,0.04,0.01,0.02,0.04,0.02,0.01,0.01,0.03,0.01,0.02,0.02,0.03,0.22,0.71,18,0.1,0.44,Q3,,"Taro, cooked, without salt",Nigeria,0,0
Yellow plantain,Starchy staples,"White roots, tubers, and plantains",N/A,139,36.63,1.95,0,0,0,0,50.5,17.4,0,0,0.08,0.1,0.68,0.23,37.5,0,13.1,0.42,0.2,3,482,38.5,3,0,0,0,0,0.13,0.04,0.08,0.07,0.01,0.02,0.05,0.02,0.03,0.05,0.04,0.56,0.71,20.29,0.1,0.44,Q3,,"Yellow plantain, average of raw and cooked (baked)",Nigeria,0,0
Green plantain,Starchy staples,"White roots, tubers, and plantains",N/A,215,39.16,3.05,2.18,1.39,3.57,1.88,60,6.25,0,0,0.05,0.08,0.6,0.24,37.5,0,13.1,0.49,0.19,3.5,385.5,43,2,0,0,0,0.12,0.06,0.02,0.04,0.05,0.01,0.02,0.03,0.01,0.02,0.02,0.02,0.3,0.71,17.16,0.1,0.44,Q3,"Used vit D and E, folate, and choline from yellow plantain","Green plantain, cooked, average of fried and boiled",Nigeria,0,0
Potato,Starchy staples,"White roots, tubers, and plantains",N/A,107,20.7,1.86,0.75,0.8,1.55,0.28,0.43,11,0,0.34,0.08,0.03,1.38,0.3,18.29,0,14.19,0.7,0.32,9.86,451.57,25.57,92.43,0,0,0,0.04,0.04,0.08,0.12,0.12,0.03,0.03,0.09,0.03,0.07,0.07,0.11,0.79,1.25,47.61,0.1,0.44,Q3,,"Potato, cooked, average of skin eaten and not eaten and of boiled, baked, fried, and roasted",Nigeria,0,0
Sweet potato,Starchy staples,"White roots, tubers, and plantains",N/A,110,19.06,2.93,1.22,1.29,2.51,0.46,872.67,16.73,0,1.25,0.09,0.08,1.12,0.24,5.67,0,11.93,0.68,0.27,33.33,378.33,23,78.67,0,0,0,0,0.03,0.06,0.1,0.07,0.03,0.02,0.1,0.03,0.04,0.09,0.09,0.67,1.25,10.33,0.1,0.44,Q3,,"Sweet potato, cooked, average of boiled, baked and fried",Nigeria,0,0
Water yam,Starchy staples,"White roots, tubers, and plantains",02_018 (from WA FCT),123,22.7,10.2,0.01,0.06,0.07,0.04,3,11,0,0.39,0.04,0.03,0.8,0.02,17,0,16.2,0.8,0.41,15,237,7,5,0,0,0,0.01,0.03,0.05,0.09,0.06,0.02,0.02,0.07,0.01,0.04,0.05,0.06,0.51,0.69,26,0.1,0.44,Q3,"Used choline, DHA, DPA, EPA, and eaa values for yam","Water yam, tuber, boiled (without salt), drained",Nigeria,0,0
Yam,Starchy staples,"White roots, tubers, and plantains",170072,116,27.48,3.9,0.01,0.06,0.07,0.03,6,12.1,0,0.34,0.1,0.03,0.55,0.23,16,0,16.2,0.52,0.2,14,670,18,8,0,0,0,0.01,0.03,0.05,0.09,0.06,0.02,0.02,0.07,0.01,0.04,0.05,0.06,0.51,0.69,30,0.1,0.44,Q3,Used ALA value for water yam,"Yam, cooked, boiled, drained, or baked, without salt",Nigeria,0,0
Instant noodles,Starchy staples,Instant noodles,01_103 (from WA FCT),200,25.3,1.3,3.07,0.89,3.96,3.93,0,0,0,1.1,0.12,0.12,1.4,0.05,5,0,6.4,0.3,0.22,12,22,10,108,0,0,0,0.02,0.13,0.23,0.44,0.13,0.07,0.11,0.3,0.08,0.11,0.21,0.26,2.07,0.29,164.74,0.1,0.26,Q23,"Used choline, DHA, DPA, EPA, and eaa values for refined pasta","Instant noodles (Indomie), made from wheat flour, previously fried and dried, without flavouring, boiled and drained",Nigeria,0,0
Cowpea pancakes (fried),"Pulses, nuts, and seeds",Legumes,03_154 (from WA FCT),253,27.7,5.8,2.56,4.39,6.95,1.37,0,0,0,1.7,0.09,0.05,2.6,0.11,140,0,32.2,6.5,2.07,67,632,126,699,0,0,0,0.21,0.24,0.31,0.59,0.52,0.11,0.09,0.45,0.1,0.25,0.29,0.37,3.32,0.48,496.1,0.1,0.26,Q4,"Used phytate for boiled cowpeas as a proxy; used choline, DHA, EPA, DPA, and eaa values for blackeyes cowpeas",Boussan touba: fried cowpea pancakes,Nigeria,0,0
Brown cowpeas,"Pulses, nuts, and seeds",Legumes,03_096 (from WA FCT),122,17.6,4.8,0.04,0.34,0.38,0.18,0,0,0,0.24,0.08,0.02,1.9,0.08,78,0,32.2,2.2,1.33,25,306,99,7,0,0,0,0.13,0.24,0.31,0.59,0.52,0.11,0.09,0.45,0.1,0.25,0.29,0.37,3.32,0.48,496.1,0.1,0.26,Q4,"Used choline, DHA, EPA, DPA, and eaa values for blackeyes cowpeas","Cowpea, brown, soaked, boiled in different water (without salt), drained",Nigeria,0,0
Blackeyes cowpeas,"Pulses, nuts, and seeds",Legumes,173759,116,20.76,6.5,0.04,0.23,0.27,0.14,1,0.4,0,0.28,0.2,0.06,0.5,0.1,208,0,32.2,2.51,1.29,24,278,53,4,0,0,0,0.13,0.24,0.31,0.59,0.52,0.11,0.09,0.45,0.1,0.25,0.29,0.37,3.32,0.48,496.1,0.1,0.26,Q4, Used ALA value for brown cowpeas,"Cowpeas, common (blackeyes, crowder, southern), mature seeds, cooked, boiled, without salt",Nigeria,0,0
Moin-moin (steamed bean pudding),"Pulses, nuts, and seeds",Legumes,03_02_09 (from NG FCT),108,15.74,7.24,1.61,3.66,5.27,1.04,0.25,0.59,0,0.64,0.12,0.09,1.47,0.13,139.63,0,39.85,0.88,0.68,3.76,0.77,2.69,3.72,0,0,0,0.17,0.47,0.79,1.35,1.12,0.23,0.25,0.9,0.24,0.62,0.71,0.83,2.19,0.48,1.91,0.1,0.44,Q4,,"Beans,soaked,dehulled,blended to Paste with added salt, pepper and Vegetable oil,Steamed into mould",Nigeria,0,0
Soybeans,"Pulses, nuts, and seeds",Legumes,N/A,321,19.29,11.85,3.8,9.7,13.5,2.49,0,1.95,0,0.35,0.13,0.22,0.9,0.22,132.5,0,47.5,4.52,2.15,120,992.5,115.5,2.5,0,0,0,0.17,0.7,1.26,2.11,1.73,0.35,0.42,1.35,0.38,0.98,1.13,1.29,1.06,1.02,248,0.1,0.26,Q4,"Used phytate value for cooked soy flour as a proxy, as value for cooked soy beans was unavailable","Soybeans, mature seeds, cooked, average of boiled and roasted",Nigeria,0,0
Peanuts,"Pulses, nuts, and seeds",Nuts and seeds,172430,567,16.13,8.5,24.43,15.56,39.98,6.28,0,0,0,8.33,0.64,0.14,12.07,0.35,240,0,52.5,4.58,3.27,92,705,168,18,0,0,0,0.08,0.65,0.91,1.67,0.93,0.32,0.33,1.38,0.25,1.05,0.88,1.08,9.45,0.43,987,0.1,0.26,Q21,,"Peanuts, all types, raw",Nigeria,0,0
Roasted peanuts,"Pulses, nuts, and seeds",Nuts and seeds,N/A,593,18.26,8.9,26.08,12.53,38.61,8.2,0,0.4,0,5.92,0.12,0.14,14.09,0.46,108.5,0,59.8,1.55,3.03,59.5,680,177,6,0,0,0,0.03,0.63,0.91,1.67,0.9,0.29,0.34,1.33,0.23,0.98,0.71,1.07,9.06,0.43,2008,0.1,0.26,Q21,,"Peanuts, average of dry- and oil-roasted",Nigeria,0,0
Melon seeds,"Pulses, nuts, and seeds",Nuts and seeds,06_013 (from WA FCT),574,11.6,6,7.68,24.26,31.94,11.11,0,0,0,5.7,0.1,0.12,8.2,0.09,58,0,56.15,6.3,4.54,118,610,383,37,0,0,0,0.14,0.58,0.87,1.61,0.92,0.32,0.35,1.22,0.26,0.85,0.76,1.08,8.81,0.67,460,0.1,0.26,Q21,,"Melon seed, kernel only, dried, raw",Nigeria,0,0
African mango seeds,"Pulses, nuts, and seeds",Nuts and seeds,06_008 (from WA FCT),650,5.5,17.3,20.5,15.05,35.54,8.34,0,5,0,1.8,0.16,0.08,2.9,0.34,62,0,56.15,3.4,3.21,105,16,287,2,0,0,0,0.08,0.58,0.87,1.61,0.92,0.32,0.35,1.22,0.26,0.85,0.76,1.08,8.81,0.67,1001.86,0.1,0.26,Q21,,"Dikanut, kernel, dried, raw",Nigeria,0,0
Cashews ,"Pulses, nuts, and seeds",Nuts and seeds,170162,553,30.19,3.3,23.8,7.85,31.64,7.78,0,0.5,0,0.9,0.42,0.06,1.06,0.42,25,0,56.15,6.68,5.78,37,660,292,12,0,0,0,0.08,0.46,0.79,1.47,0.93,0.36,0.39,0.95,0.29,0.51,0.69,1.09,7.93,0.42,929,0.1,0.26,Q21,,"Nuts, cashew nuts, raw",Nigeria,0,0
Carrots,Vegetables,Vitamin A-rich orange vegetables,N/A,38,8.9,2.9,0.01,0.1,0.1,0.03,843.5,4.75,0,0.85,0.07,0.05,0.81,0.15,16.5,0,8.8,0.32,0.22,31.5,277.5,11,63.5,0,0,0,0,0.04,0.07,0.09,0.09,0.02,0.08,0.06,0.01,0.04,0.17,0.06,0.73,0.8,88.2,0.1,0.35,Q5,,"Carrots, average of raw and cooked (boiled)",Nigeria,0,0
Amaranth leaves,Vegetables,Dark green leafy vegetables,N/A,22,4.07,3,0.06,0.11,0.17,0.07,142.5,42.2,0,2.06,0.02,0.15,0.61,0.18,71,0,19.5,2.29,0.89,212,626,55,20.5,0,0,0,0.14,0.05,0.11,0.18,0.12,0.03,0.03,0.12,0.03,0.07,0.09,0.13,0.96,0.8,17.7,0.1,0.44,Q6.1,,"Amaranth leaves, average of raw and cooked (boiled)",Nigeria,0,0
Dried baobab leaves,Vegetables,Dark green leafy vegetables,04_002 (from WA FCT),241,19.8,42.9,0.16,1.06,1.22,0.64,143,19,0,1.7,0.1,0.15,6.1,1.5,300,0,222.46,13.7,3.56,1244,1490,206,166,0,0,0,0.71,0.59,1.5,2.61,1.79,0.51,0.34,1.54,0.39,1.22,1.34,1.71,13.55,0.8,260,0.1,0.26,Q6.1,,"Baobab, leaves, dried",Nigeria,0,1
Fresh baobab leaves,Vegetables,Dark green leafy vegetables,N/A,63,5.45,10.9,0.03,0.18,0.21,0.11,204.5,33,0,0.43,0.03,0.04,1.75,0.34,73,0,20,3.05,0.8,308.5,284,42,37,0,0,0,0.12,0.05,0.14,0.23,0.16,0.05,0.03,0.14,0.04,0.11,0.12,0.15,1.22,0.8,80,0.1,0.35,Q6.1,,"Baobab leaves, fresh, average of raw and cooked (boiled)",Nigeria,0,0
Bitter leaves,Vegetables,Dark green leafy vegetables,N/A,66,6.75,5.15,0.06,0.42,0.48,0.25,232,20.5,0,0.43,0.08,0.17,1.55,0.2,43,0,20,1.85,1.66,167.5,448.5,76.5,10,0,0,0,0.28,0.05,0.14,0.23,0.16,0.05,0.03,0.14,0.04,0.11,0.12,0.15,1.22,0.8,4.28,0.1,0.44,Q6.1,,"Bitter leaves, average of raw and cooked (boiled)",Nigeria,0,0
Jute mallow leaves,Vegetables,Dark green leafy vegetables,N/A,50,3.2,8.35,0.03,0.19,0.22,0.06,263.5,52,0,0.43,0.1,0.26,1.35,0.5,89.5,0,20,6.35,0.67,277.5,206,62,10.5,0,0,0,0,0.05,0.14,0.23,0.16,0.05,0.03,0.14,0.04,0.11,0.12,0.15,1.22,0.8,38.75,0.1,0.44,Q6.1,,"Jute mallow leaves (ewedu), average of raw and cooked (boiled)",Nigeria,0,0
Pumpkin leaves,Vegetables,Dark green leafy vegetables,N/A,20,2.86,2.7,0.04,0.02,0.06,0.16,88.5,6,0,0.96,0.08,0.13,0.89,0.2,30.5,0,21,2.71,0.2,41,437,38,9.5,0,0,0,0.07,0.05,0.15,0.3,0.19,0.05,0.03,0.16,0.04,0.15,0.15,0.17,1.41,0.8,36.14,0.1,0.44,Q6.1,,"Pumpkin leaves, average of raw and cooked (boiled)",Nigeria,0,0
Spinach,Vegetables,Dark green leafy vegetables,N/A,23,3.69,2.3,0.01,0.14,0.15,0.05,496.5,18.95,0,2.06,0.09,0.21,0.61,0.22,170,0,19.5,3.14,0.65,117.5,512,83,74.5,0,0,0,0.14,0.07,0.15,0.23,0.18,0.05,0.04,0.13,0.04,0.11,0.12,0.16,1.28,0.8,12.01,0.1,0.44,Q6.1,,"Spinach, average of raw and cooked (boiled)",Nigeria,0,0
Waterleaf,Vegetables,Dark green leafy vegetables,N/A,41,4.35,3.95,0.05,0.3,0.35,0.18,266,24,0,0.94,0.03,0.14,0.85,0.2,18,0,20,0.95,0.75,98.5,312,131.5,33.5,0,0,0,0.2,0.05,0.14,0.23,0.16,0.05,0.03,0.14,0.04,0.11,0.12,0.15,1.22,0.8,29.4,0.1,0.44,Q6.1,,"Waterleaf, average of raw and cooked (boiled)",Nigeria,0,0
Wild spinach,Vegetables,Dark green leafy vegetables,N/A,45,2.5,4.3,0.05,0.3,0.35,0.18,72,31,0,0.43,0.06,0.13,1.6,0.22,47,0,20,3.8,0.62,229.5,341,67,24,0,0,0,0.2,0.05,0.14,0.23,0.16,0.05,0.03,0.14,0.04,0.11,0.12,0.15,1.22,0.8,12.01,0.1,0.44,Q6.2,"Phytate value for wild spinach missing, used value for spinach as a proxy","Wild spinach (okazi), average of raw and cooked (boiled)",Nigeria,0,0
Cabbage,Vegetables,Other vegetables,N/A,24,5.66,2.2,0.02,0.02,0.04,0.02,4.5,37.05,0,0.15,0.06,0.04,0.24,0.12,36.5,0,15.5,0.32,0.19,44,183,13.5,13,0,0,0,0.12,0.02,0.03,0.04,0.04,0.01,0.01,0.03,0.01,0.02,0.04,0.04,0.3,0.8,11.77,0.1,0.44,Q7.1,,"Cabbage, average of raw and cooked (boiled)",Nigeria,0,0
Cucumber,Vegetables,Other vegetables,N/A,13,2.9,0.6,0.01,0.03,0.03,0.06,4.5,3,0,0.03,0.03,0.03,0.07,0.05,10.5,0,5.85,0.25,0.19,15,141.5,12.5,2,0,0,0,0.12,0.01,0.02,0.03,0.03,0.01,0.01,0.03,0.01,0.01,0.02,0.02,0.16,0.8,16.94,0.1,0.44,Q7.1,,"Cucumber, average of with and without peel, raw",Nigeria,0,0
Garden eggplant,Vegetables,Other vegetables,04_103 (from WA FCT),35,4.2,4.3,0.03,0.22,0.25,0.1,11,1,0,0.1,0.05,0.08,0.6,0.04,18,0,10.73,0.9,0.19,12,128,16,3,0,0,0,0.04,0.02,0.04,0.06,0.06,0.01,0.01,0.04,0.01,0.03,0.04,0.05,0.37,0.8,19,0.1,0.44,Q7.1,,"Native eggplant, fruit, boiled (without salt), drained",Nigeria,0,0
Lettuce,Vegetables,Other vegetables,169249,15,2.87,1.3,0.01,0.08,0.09,0.02,370,9.2,0,0.22,0.07,0.08,0.38,0.09,38,0,13.6,0.86,0.18,36,194,13,28,0,0,0,0.12,0.02,0.08,0.08,0.08,0.02,0.02,0.06,0.01,0.03,0.06,0.07,0.53,0.8,3,0.1,0.44,Q7.1,,"Lettuce, green leaf, raw",Nigeria,0,0
Dried okra,Vegetables,Other vegetables,04_077 (from WA FCT),245,21.8,45.3,0.06,0.82,0.88,0.52,25,16,0,4.1,0.32,0.57,9.7,2.1,570,0,10.73,6.4,4.64,781,2530,548,77,0,0,0,0.24,0.02,0.04,0.06,0.06,0.01,0.01,0.04,0.01,0.03,0.04,0.05,0.37,0.8,117.99,0.1,0.3,Q7.1,,"Okra, fruit, dried",Nigeria,0,1
Okra,Vegetables,Other vegetables,N/A,121,13.44,2.05,2.51,2.55,5.06,0.93,12,9.95,0.05,1.19,0.2,0.11,1.43,0.11,74,0.02,12.25,1,0.44,64.5,123,29.5,161,0,0,0,0.07,0.03,0.07,0.1,0.08,0.02,0.02,0.06,0.02,0.08,0.06,0.09,0.61,0.8,13,0.1,0.44,Q7.1,,"Okra (lady finger), average of boiled and fried",Nigeria,0,0
